dut_speed,dut_decel,dut_dist,foe_speed,foe_dist,envelope_id
15.0,3.9,4.0,23.0,11.0,0
17.0,4.2,6.0,24.0,15.0,0
18.0,3.8,4.0,23.0,13.0,0
18.0,4.0,5.0,23.0,15.0,0
18.0,4.1,6.0,23.0,15.0,0
18.0,4.2,8.0,24.0,16.0,0
19.0,4.1,6.0,22.0,15.0,0
19.0,4.1,7.0,23.0,16.0,0
19.0,4.2,8.0,24.0,16.0,0
18.0,4.5,9.0,24.0,17.0,0
17.0,4.3,9.0,26.0,15.0,0
17.0,4.1,8.0,26.0,14.0,0
18.0,4.0,8.0,25.0,14.0,0
19.0,4.5,11.0,25.0,16.0,0
17.0,4.3,8.0,25.0,16.0,0
17.0,4.1,7.0,25.0,16.0,0
17.0,4.0,6.0,25.0,16.0,0
18.0,4.5,11.0,24.0,16.0,0
17.0,4.3,8.0,26.0,15.0,0
18.0,4.1,6.0,26.0,15.0,0
18.0,4.1,6.0,25.0,15.0,0
18.0,4.4,13.0,24.0,15.0,0
17.0,4.3,8.0,26.0,16.0,0
17.0,4.2,5.0,25.0,16.0,0
18.0,4.2,4.0,25.0,16.0,0
19.0,4.3,11.0,25.0,18.0,0
17.0,4.3,9.0,26.0,16.0,0
17.0,4.3,7.0,25.0,14.0,0
17.0,4.3,6.0,24.0,13.0,0
19.0,4.4,9.0,25.0,19.0,0
17.0,4.3,9.0,26.0,16.0,0
17.0,4.3,9.0,25.0,14.0,0
17.0,4.2,9.0,24.0,13.0,0
19.0,4.2,12.0,25.0,19.0,0
17.0,4.3,9.0,26.0,16.0,0
17.0,4.3,7.0,25.0,13.0,0
17.0,4.3,6.0,24.0,13.0,0
18.0,4.2,13.0,24.0,16.0,0
17.0,4.3,9.0,26.0,16.0,0
17.0,4.4,6.0,25.0,15.0,0
18.0,4.3,5.0,25.0,15.0,0
19.0,4.4,11.0,25.0,15.0,0
17.0,4.3,9.0,25.0,16.0,0
16.0,4.2,7.0,25.0,16.0,0
17.0,4.2,6.0,24.0,17.0,0
19.0,4.4,11.0,25.0,15.0,0
17.0,4.3,9.0,25.0,16.0,0
17.0,4.2,7.0,25.0,16.0,0
17.0,4.1,6.0,24.0,17.0,0
18.0,4.5,11.0,24.0,16.0,0
17.0,4.3,8.0,26.0,16.0,0
17.0,4.1,6.0,26.0,15.0,0
18.0,4.0,6.0,25.0,15.0,0
19.0,4.4,11.0,25.0,16.0,0
17.0,4.3,9.0,25.0,16.0,0
17.0,4.2,7.0,25.0,15.0,0
17.0,4.1,6.0,24.0,15.0,0
19.0,4.5,9.0,25.0,15.0,0
20.0,4.2,8.0,23.0,16.0,0
20.0,4.4,8.0,24.0,15.0,0
20.0,4.5,8.0,24.0,15.0,0
19.0,4.6,12.0,25.0,18.0,0
17.0,4.6,9.0,26.0,15.0,0
18.0,4.5,6.0,25.0,14.0,0
18.0,4.5,5.0,25.0,13.0,0
20.0,4.8,9.0,25.0,17.0,0
17.0,4.6,9.0,26.0,15.0,0
17.0,4.4,8.0,25.0,14.0,0
17.0,4.3,8.0,24.0,14.0,0
19.0,4.8,11.0,24.0,16.0,0
17.0,4.6,9.0,26.0,15.0,0
18.0,4.4,7.0,25.0,14.0,0
18.0,4.3,7.0,25.0,14.0,0
19.0,4.7,9.0,24.0,19.0,0
17.0,4.6,9.0,26.0,15.0,0
18.0,4.5,8.0,26.0,12.0,0
18.0,4.5,8.0,25.0,11.0,0
18.0,4.3,13.0,24.0,15.0,0
17.0,4.3,9.0,25.0,16.0,0
17.0,4.3,5.0,25.0,16.0,0
18.0,4.3,4.0,25.0,16.0,0
19.0,4.8,10.0,25.0,18.0,0
20.0,4.5,9.0,23.0,15.0,0
20.0,4.7,10.0,24.0,17.0,0
20.0,4.7,10.0,24.0,18.0,0
20.0,4.9,10.0,25.0,22.0,0
18.0,4.8,10.0,26.0,18.0,0
18.0,4.7,10.0,25.0,16.0,0
18.0,4.6,10.0,25.0,15.0,0
19.0,4.8,14.0,25.0,20.0,0
18.0,4.8,10.0,26.0,18.0,0
18.0,4.8,7.0,26.0,17.0,0
18.0,4.8,9.0,26.0,17.0,0
21.0,4.8,11.0,26.0,19.0,0
18.0,4.8,10.0,26.0,18.0,0
17.0,4.8,10.0,25.0,18.0,0
17.0,4.7,9.0,24.0,17.0,0
21.0,5.0,10.0,25.0,19.0,0
18.0,4.8,10.0,26.0,18.0,0
17.0,4.6,11.0,25.0,18.0,0
18.0,4.6,11.0,25.0,17.0,0
19.0,4.8,15.0,25.0,18.0,0
18.0,4.8,10.0,26.0,18.0,0
18.0,4.8,7.0,26.0,18.0,0
